company_name,phone,address,rating,review,website,google_maps_link
Zonnepanelen Amsterdam,,"
Weerdestein 97, 1083 GC Amsterdam, Pays-Bas",,,https://zonnepanelenamsterdam.net/,https://www.google.com/maps/place/Zonnepanelen+Amsterdam/data=!4m7!3m6!1s0x47c60b9a09da77af:0x7ed4603c99e6ff0a!8m2!3d52.3309782!4d4.8888622!16s%2Fg%2F11y7qhl4kp!19sChIJr3faCZoLxkcRCv_mmTxg1H4?authuser=0&hl=fr&rclk=1
Triple Solar B.V.,"
+31 20 435 7555","
Programmeurstraat 6b, 1033 MT Amsterdam, Pays-Bas","4,2",20.0,http://www.triplesolar.eu/,https://www.google.com/maps/place/Triple+Solar+B.V./data=!4m7!3m6!1s0x47c6083623f30251:0x699c950982ed748d!8m2!3d52.411827!4d4.8783746!16s%2Fg%2F11b60sfb4v!19sChIJUQLzIzYIxkcRjXTtggmVnGk?authuser=0&hl=fr&rclk=1
Power Solar Energy Electronic B.V.,"
+31 20 561 6047","
Joop Geesinkweg 901, Duivendrecht, 1114 AB Amsterdam, Pays-Bas","4,7",15.0,http://www.powersolarenergy.nl/,https://www.google.com/maps/place/Power+Solar+Energy+Electronic+B.V./data=!4m7!3m6!1s0x47c60b9989f84d35:0xb962fa0260fdaa25!8m2!3d52.3352446!4d4.9348926!16s%2Fg%2F11p0gk8pbg!19sChIJNU34iZkLxkcRJar9YAL6Yrk?authuser=0&hl=fr&rclk=1
Generation Zero,"
+31 20 308 6655","
Kon. Wilhelminaplein 1, 1062 HK Amsterdam, Pays-Bas","5,0",4.0,https://gen-zero.nl/,https://www.google.com/maps/place/Generation+Zero/data=!4m7!3m6!1s0x93aa2fbb7c3ecdb:0x42595b7612d22d86!8m2!3d52.3556567!4d4.8410008!16s%2Fg%2F11x0sv7872!19sChIJ2-zDt_uiOgkRhi3SEnZbWUI?authuser=0&hl=fr&rclk=1
Greenfocus,"
+31 20 448 1400","
Dukdalfweg 12, 1041 BD Amsterdam, Pays-Bas","4,4",88.0,http://www.greenfocus.nl/,https://www.google.com/maps/place/Greenfocus/data=!4m7!3m6!1s0x47c5e289802ed46d:0xa58cf0422d9b5aa5!8m2!3d52.4166336!4d4.8256485!16s%2Fg%2F1th22_70!19sChIJbdQugInixUcRpVqbLULwjKU?authuser=0&hl=fr&rclk=1
Zonnefabriek BV,"
+31 20 676 6614","
Daniël Goedkoopstraat 23, 1096 BD Amsterdam, Pays-Bas","4,4",114.0,https://www.zonnefabriek.nl/,https://www.google.com/maps/place/Zonnefabriek+BV/data=!4m7!3m6!1s0x47c60991b9f35f49:0x1b4826a02ec1306e!8m2!3d52.3359855!4d4.9216333!16s%2Fg%2F1tt8bgb3!19sChIJSV_zuZEJxkcRbjDBLqAmSBs?authuser=0&hl=fr&rclk=1
SunCharged | Thuisbatterij,"
+31 6 30469007","
Nieuwezijds Voorburgwal 104-108, 1012 SG Amsterdam, Pays-Bas","5,0",18.0,https://www.suncharged.nl/,https://www.google.com/maps/place/SunCharged+%7C+Thuisbatterij/data=!4m7!3m6!1s0x81e084f91c69567:0x465cc8589084bf41!8m2!3d52.3755482!4d4.8921491!16s%2Fg%2F11l6_y8vpy!19sChIJZ5XGkU8IHggRQb-EkFjIXEY?authuser=0&hl=fr&rclk=1
DLE.Energy,"
+31 85 004 7944","
Overschiestraat 65, 1062 XD Amsterdam, Pays-Bas","4,0",46.0,http://dle.energy/,https://www.google.com/maps/place/DLE.Energy/data=!4m7!3m6!1s0x47c5b740f1222f89:0x4a23e026b62c1762!8m2!3d52.3438723!4d4.8398745!16s%2Fg%2F11qntkzw36!19sChIJiS8i8UC3xUcRYhcstibgI0o?authuser=0&hl=fr&rclk=1
Voltera,"
+31 85 047 4947","
Keurenplein 4, 1069 CD Amsterdam, Pays-Bas","4,3",17.0,https://www.voltera.nl/,https://www.google.com/maps/place/Voltera/data=!4m7!3m6!1s0xa54d01d89752daf3:0x39c552e3a50b0359!8m2!3d52.3609271!4d4.7840138!16s%2Fg%2F11yg1pq4nh!19sChIJ89pSl9gBTaURWQMLpeNSxTk?authuser=0&hl=fr&rclk=1
Solar Sedum,"
+31 20 308 0622","
H.J.E. Wenckebachweg 48, 1A, 1096 AN Amsterdam, Pays-Bas","4,8",48.0,http://www.solarsedum.nl/,https://www.google.com/maps/place/Solar+Sedum/data=!4m7!3m6!1s0x47c60bcd4e879091:0x464b1ebdb0a864a0!8m2!3d52.3369861!4d4.9253033!16s%2Fg%2F11b5pj72mp!19sChIJkZCHTs0LxkcRoGSosL0eS0Y?authuser=0&hl=fr&rclk=1
VerduurzaamNu,"
+31 20 238 9292","
Zekeringstraat 48, 1014 BT Amsterdam, Pays-Bas","4,9",67.0,https://www.verduurzaamnu.nl/,https://www.google.com/maps/place/VerduurzaamNu/data=!4m7!3m6!1s0xac755395d249ff23:0xe364109465a4c836!8m2!3d52.3971387!4d4.8475687!16s%2Fg%2F11y80vhwr7!19sChIJI_9J0pVTdawRNsikZZQQZOM?authuser=0&hl=fr&rclk=1
Sungevity Nederland,"
+31 20 309 0901","
Gedempt Hamerkanaal 209, 1021 KP Amsterdam, Pays-Bas","2,3",230.0,,https://www.google.com/maps/place/Sungevity+Nederland/data=!4m7!3m6!1s0x47c60eca78d787a9:0x630a399ca059c5ef!8m2!3d52.382632!4d4.920398!16s%2Fg%2F11c30p0v5f!19sChIJqYfXeMoOxkcR78VZoJw5CmM?authuser=0&hl=fr&rclk=1
Solar Nederland B.V.,"
+31 88 765 2777","
Dynamostraat 5, 1014 BN Amsterdam, Pays-Bas","5,0",2.0,http://www.solar.nl/,https://www.google.com/maps/place/Solar+Nederland+B.V./data=!4m7!3m6!1s0x47c5e28cc6d26575:0xe556b89de6e834fd!8m2!3d52.3974092!4d4.8509138!16s%2Fg%2F1thcrjl9!19sChIJdWXSxozixUcR_TTo5p24VuU?authuser=0&hl=fr&rclk=1
Green Wave,"
+31 20 227 9665","
Haarlemmerweg 319D, 1051 LG Amsterdam, Pays-Bas","4,9",47.0,http://www.green-wave.nl/,https://www.google.com/maps/place/Green+Wave/data=!4m7!3m6!1s0x47c5e3f682320df7:0xc22df9782ef17!8m2!3d52.3851203!4d4.866412!16s%2Fg%2F11q8gzh7w9!19sChIJ9w0ygvbjxUcRF--Cl98iDAA?authuser=0&hl=fr&rclk=1
Zon&Co,"
+31 20 777 1781","
Molenkade 59, 1115 AC Duivendrecht, Pays-Bas","4,7",77.0,http://www.zonenco.nl/,https://www.google.com/maps/place/Zon%26Co/data=!4m7!3m6!1s0x47c6096fbbb3bfcd:0x85b85496ca74d97b!8m2!3d52.3377692!4d4.9499275!16s%2Fg%2F1td6rfb_!19sChIJzb-zu28JxkcRe9l0ypZUuIU?authuser=0&hl=fr&rclk=1
Clevaris,"
+31 85 505 5452","
Hullenbergweg 278, 1101 BV Amsterdam, Pays-Bas","5,0",14.0,https://www.clevaris.nl/,https://www.google.com/maps/place/Clevaris/data=!4m7!3m6!1s0x28c6f54471861699:0x3350a2b167bd22b7!8m2!3d52.3050966!4d4.9517278!16s%2Fg%2F11x7md7ppy!19sChIJmRaGcUT1xigRtyK9Z7GiUDM?authuser=0&hl=fr&rclk=1
Solar Meesters,"
+31 6 82225136","
Helena Mercierstraat 3H, 1066 AJ Amsterdam, Pays-Bas","5,0",6.0,https://www.solarmeesters.nl/,https://www.google.com/maps/place/Solar+Meesters/data=!4m7!3m6!1s0x41d17a5fc51d4843:0xcf0b4d0c96f9c38c!8m2!3d52.3484151!4d4.8285948!16s%2Fg%2F11vbgm2s9s!19sChIJQ0gdxV960UERjMP5lgxNC88?authuser=0&hl=fr&rclk=1
Solar Evolution,"
+31 35 785 7761","
Vliegdenweg 8, 1406 MZ Bussum, Pays-Bas","4,8",67.0,http://www.solarevolution.nl/,https://www.google.com/maps/place/Solar+Evolution/data=!4m7!3m6!1s0x47c613bb50fe5fbf:0x5723e9a878ca8c08!8m2!3d52.2695925!4d5.154687!16s%2Fg%2F11hzrsm1vq!19sChIJv1_-ULsTxkcRCIzKeKjpI1c?authuser=0&hl=fr&rclk=1
