company_name,phone,address,rating,review,website,google_maps_link
Zonnepanelen Amsterdam,,"
Weerdestein 97, 1083 GC Amsterdam, Pays-Bas",,,https://zonnepanelenamsterdam.net/,https://www.google.com/maps/place/Zonnepanelen+Amsterdam/data=!4m7!3m6!1s0x47c60b9a09da77af:0x7ed4603c99e6ff0a!8m2!3d52.3309782!4d4.8888622!16s%2Fg%2F11y7qhl4kp!19sChIJr3faCZoLxkcRCv_mmTxg1H4?authuser=0&hl=fr&rclk=1
Triple Solar B.V.,"
+31 20 435 7555","
Programmeurstraat 6b, 1033 MT Amsterdam, Pays-Bas","4,2",20,http://www.triplesolar.eu/,https://www.google.com/maps/place/Triple+Solar+B.V./data=!4m7!3m6!1s0x47c6083623f30251:0x699c950982ed748d!8m2!3d52.411827!4d4.8783746!16s%2Fg%2F11b60sfb4v!19sChIJUQLzIzYIxkcRjXTtggmVnGk?authuser=0&hl=fr&rclk=1
Power Solar Energy Electronic B.V.,"
+31 20 561 6047","
Joop Geesinkweg 901, Duivendrecht, 1114 AB Amsterdam, Pays-Bas","4,7",15,http://www.powersolarenergy.nl/,https://www.google.com/maps/place/Power+Solar+Energy+Electronic+B.V./data=!4m7!3m6!1s0x47c60b9989f84d35:0xb962fa0260fdaa25!8m2!3d52.3352446!4d4.9348926!16s%2Fg%2F11p0gk8pbg!19sChIJNU34iZkLxkcRJar9YAL6Yrk?authuser=0&hl=fr&rclk=1
Generation Zero,"
+31 20 308 6655","
Kon. Wilhelminaplein 1, 1062 HK Amsterdam, Pays-Bas","5,0",4,https://gen-zero.nl/,https://www.google.com/maps/place/Generation+Zero/data=!4m7!3m6!1s0x93aa2fbb7c3ecdb:0x42595b7612d22d86!8m2!3d52.3556567!4d4.8410008!16s%2Fg%2F11x0sv7872!19sChIJ2-zDt_uiOgkRhi3SEnZbWUI?authuser=0&hl=fr&rclk=1
Greenfocus,"
+31 20 448 1400","
Dukdalfweg 12, 1041 BD Amsterdam, Pays-Bas","4,4",88,http://www.greenfocus.nl/,https://www.google.com/maps/place/Greenfocus/data=!4m7!3m6!1s0x47c5e289802ed46d:0xa58cf0422d9b5aa5!8m2!3d52.4166336!4d4.8256485!16s%2Fg%2F1th22_70!19sChIJbdQugInixUcRpVqbLULwjKU?authuser=0&hl=fr&rclk=1
Zonnefabriek BV,"
+31 20 676 6614","
Daniël Goedkoopstraat 23, 1096 BD Amsterdam, Pays-Bas","4,4",114,https://www.zonnefabriek.nl/,https://www.google.com/maps/place/Zonnefabriek+BV/data=!4m7!3m6!1s0x47c60991b9f35f49:0x1b4826a02ec1306e!8m2!3d52.3359855!4d4.9216333!16s%2Fg%2F1tt8bgb3!19sChIJSV_zuZEJxkcRbjDBLqAmSBs?authuser=0&hl=fr&rclk=1
SunCharged | Thuisbatterij,"
+31 6 30469007","
Nieuwezijds Voorburgwal 104-108, 1012 SG Amsterdam, Pays-Bas","5,0",18,https://www.suncharged.nl/,https://www.google.com/maps/place/SunCharged+%7C+Thuisbatterij/data=!4m7!3m6!1s0x81e084f91c69567:0x465cc8589084bf41!8m2!3d52.3755482!4d4.8921491!16s%2Fg%2F11l6_y8vpy!19sChIJZ5XGkU8IHggRQb-EkFjIXEY?authuser=0&hl=fr&rclk=1
DLE.Energy,"
+31 85 004 7944","
Overschiestraat 65, 1062 XD Amsterdam, Pays-Bas","4,0",46,http://dle.energy/,https://www.google.com/maps/place/DLE.Energy/data=!4m7!3m6!1s0x47c5b740f1222f89:0x4a23e026b62c1762!8m2!3d52.3438723!4d4.8398745!16s%2Fg%2F11qntkzw36!19sChIJiS8i8UC3xUcRYhcstibgI0o?authuser=0&hl=fr&rclk=1
Voltera,"
+31 85 047 4947","
Keurenplein 4, 1069 CD Amsterdam, Pays-Bas","4,3",17,https://www.voltera.nl/,https://www.google.com/maps/place/Voltera/data=!4m7!3m6!1s0xa54d01d89752daf3:0x39c552e3a50b0359!8m2!3d52.3609271!4d4.7840138!16s%2Fg%2F11yg1pq4nh!19sChIJ89pSl9gBTaURWQMLpeNSxTk?authuser=0&hl=fr&rclk=1
Solar Sedum,"
+31 20 308 0622","
H.J.E. Wenckebachweg 48, 1A, 1096 AN Amsterdam, Pays-Bas","4,8",48,http://www.solarsedum.nl/,https://www.google.com/maps/place/Solar+Sedum/data=!4m7!3m6!1s0x47c60bcd4e879091:0x464b1ebdb0a864a0!8m2!3d52.3369861!4d4.9253033!16s%2Fg%2F11b5pj72mp!19sChIJkZCHTs0LxkcRoGSosL0eS0Y?authuser=0&hl=fr&rclk=1
