company_name,phone,address,rating,review,website,google_maps_link
Bricknest,,"
Leo Smitstraat 11, B, 1082 MP Amsterdam, Pays-Bas","5,0",19,,https://www.google.com/maps/place/Bricknest/data=!4m7!3m6!1s0x489c673fee15964d:0x76d3e64fbf043589!8m2!3d52.336094!4d4.875178!16s%2Fg%2F11vf40_69t!19sChIJTZYV7j9nnEgRiTUEv0_m03Y?authuser=0&hl=fr&rclk=1
Kondor Wessels Amsterdam BV,,"
Anderlechtlaan 179, 1066 HM Amsterdam, Pays-Bas","4,3",24,http://www.kondorwessels-amsterdam.nl/,https://www.google.com/maps/place/Kondor+Wessels+Amsterdam+BV/data=!4m7!3m6!1s0x47c5e254f8aa4c6f:0x660d81cea4c19e5e!8m2!3d52.3431585!4d4.8121473!16s%2Fg%2F11b6dqb9bz!19sChIJb0yq-FTixUcRXp7BpM6BDWY?authuser=0&hl=fr&rclk=1
Breit Projects,,"
Keizersgracht 520, 1017 EJ Amsterdam, Pays-Bas","4,9",60,https://www.breitprojects.nl/,https://www.google.com/maps/place/Breit+Projects/data=!4m7!3m6!1s0x47c609d14c9c7d19:0xa219bda9b07598eb!8m2!3d52.3655975!4d4.8865371!16s%2Fg%2F11y423452r!19sChIJGX2cTNEJxkcR65h1sKm9GaI?authuser=0&hl=fr&rclk=1
Urban Constructions,,"
Oderweg 4, 1043 AG Amsterdam, Pays-Bas","4,5",15,,https://www.google.com/maps/place/Urban+Constructions/data=!4m7!3m6!1s0x47c5e362b422a425:0x9380e8c03a0398ee!8m2!3d52.3908062!4d4.8204334!16s%2Fg%2F11p15pg0kd!19sChIJJaQitGLjxUcR7pgDOsDogJM?authuser=0&hl=fr&rclk=1
Avenue Construction,,"
Weesperstraat 98-a, Diemen, 1112 AP Amsterdam, Pays-Bas","4,2",28,http://www.avenueconstruction.nl/,https://www.google.com/maps/place/Avenue+Construction/data=!4m7!3m6!1s0x47c609027dd9c13b:0x1c2f0b86ab3241a6!8m2!3d52.3342842!4d4.9696944!16s%2Fg%2F11qqphbwz_!19sChIJO8HZfQIJxkcRpkEyq4YLLxw?authuser=0&hl=fr&rclk=1
Aannemingsbedrijf HR Construction,,"
Witbolstraat 15, 1032 LC Amsterdam, Pays-Bas","4,7",34,http://www.hr-construction.nl/,https://www.google.com/maps/place/Aannemingsbedrijf+HR+Construction/data=!4m7!3m6!1s0x47c6084ee2969d05:0xc196b9b3f74eefc7!8m2!3d52.3948592!4d4.9081105!16s%2Fg%2F11b6sxcdcl!19sChIJBZ2W4k4IxkcRx-9O97O5lsE?authuser=0&hl=fr&rclk=1
Philip's Construction Company B.V.,,"
Wethouder Ed. Polakstraat 56, 1107 CW Amsterdam, Pays-Bas","5,0",6,https://pccbouw.nl/,https://www.google.com/maps/place/Philip%27s+Construction+Company+B.V./data=!4m7!3m6!1s0x3dbda20c39185b5:0xd56429ea5d098cd7!8m2!3d52.293115!4d4.989195!16s%2Fg%2F11ylfglk_x!19sChIJtYWRwyDa2wMR14wJXeopZNU?authuser=0&hl=fr&rclk=1
Rcm bouw,,"
Palmstraat 78, 3, 1015 HT Amsterdam, Pays-Bas","4,9",98,http://www.rcmbouw.nl/,https://www.google.com/maps/place/Rcm+bouw/data=!4m7!3m6!1s0x47c609ed4177e8d5:0x4d60d100df7dc930!8m2!3d52.3815423!4d4.8826829!16s%2Fg%2F11k_njd2_p!19sChIJ1eh3Qe0JxkcRMMl93wDRYE0?authuser=0&hl=fr&rclk=1
Pkpbouw,,"
Blasiusstraat, 1091 CW Amsterdam, Pays-Bas","5,0",12,https://www.pkpbouw.nl/,https://www.google.com/maps/place/Pkpbouw/data=!4m7!3m6!1s0x654f6f4abb09dc5f:0x17722a2d76b866db!8m2!3d52.356706!4d4.9100007!16s%2Fg%2F11scpvjzxj!19sChIJX9wJu0pvT2UR22a4di0qchc?authuser=0&hl=fr&rclk=1
Hates Bouwbedrijf,,"
Tweede Kostverlorenkade 43D, 1053 TP Amsterdam, Pays-Bas","4,8",41,https://www.hatesbouwbedrijf.nl/,https://www.google.com/maps/place/Hates+Bouwbedrijf/data=!4m7!3m6!1s0x4671d31cf193124d:0x668e3724d767f4bc!8m2!3d52.3678506!4d4.8633992!16s%2Fg%2F11pzky8ymt!19sChIJTRKT8RzTcUYRvPRn1yQ3jmY?authuser=0&hl=fr&rclk=1
