company_name,phone,address,rating,review,website,google_maps_link
Dura Vermeer,,"
Hertogswetering 157, 3543 AS Utrecht, Pays-Bas","4,6",27,,https://www.google.com/maps/place/Dura+Vermeer/data=!4m7!3m6!1s0x47c6671df34e7973:0x17060eeacb860c61!8m2!3d52.1031623!4d5.0605753!16s%2Fg%2F1td6fpqf!19sChIJc3lO8x1nxkcRYQyGy-oOBhc?authuser=0&hl=fr&rclk=1
Stamhuis Groep BV,,"
Otto Hahnweg 20, 3542 AX Utrecht, Pays-Bas","4,7",20,http://www.stamhuis.nl/,https://www.google.com/maps/place/Stamhuis+Groep+BV/data=!4m7!3m6!1s0x47c66fcedbbdde0f:0x182105355092fddd!8m2!3d52.1174581!4d5.0550108!16s%2Fg%2F1tdgtlzs!19sChIJD969285vxkcR3f2SUDUFIRg?authuser=0&hl=fr&rclk=1
Strukton,,"
Westkanaaldijk 2, 3542 DA Utrecht, Pays-Bas","4,2",167,https://strukton.com/,https://www.google.com/maps/place/Strukton/data=!4m7!3m6!1s0x47c66e332ea729b9:0x79e25cee55111942!8m2!3d52.1264319!4d5.0523288!16s%2Fg%2F1td0s2fj!19sChIJuSmnLjNuxkcRQhkRVe5c4nk?authuser=0&hl=fr&rclk=1
Josons Construction Limited,,"
Fermiweg 67, 3542 CB Utrecht, Pays-Bas","5,0",1,https://josonsconstructioncoltd.com/,https://www.google.com/maps/place/Josons+Construction+Limited/data=!4m7!3m6!1s0x47c66f004f461a39:0xd5b97736f5c7eca0!8m2!3d52.1188065!4d5.049631!16s%2Fg%2F11x7ctxmtg!19sChIJORpGTwBvxkcRoOzH9TZ3udU?authuser=0&hl=fr&rclk=1
Trustan Bouw Management BV,,"
Sterrebaan 14, 3542 DK Utrecht, Pays-Bas","3,5",16,http://www.trustanbouw.nl/,https://www.google.com/maps/place/Trustan+Bouw+Management+BV/data=!4m7!3m6!1s0x47c66f0a46dbc8fb:0x242bc22c736d4799!8m2!3d52.1214387!4d5.0434352!16s%2Fg%2F11rz4rq75c!19sChIJ-8jbRgpvxkcRmUdtcyzCKyQ?authuser=0&hl=fr&rclk=1
Utrecht Kantoor,,"
Techniekweg, 3542 AR Utrecht, Pays-Bas","5,0",1,http://jurriens.nl/,https://www.google.com/maps/place/Utrecht+Kantoor/data=!4m7!3m6!1s0x47c66fba99c0983b:0x652d45dc3debbed4!8m2!3d52.1136958!4d5.0724754!16s%2Fg%2F11cp7kjxyh!19sChIJO5jAmbpvxkcR1L7rPdxFLWU?authuser=0&hl=fr&rclk=1
Ballast Nedam,,"
Euclideslaan 201, 3584 BS Utrecht, Pays-Bas","4,4",68,http://www.ballast-nedam.nl/,https://www.google.com/maps/place/Ballast+Nedam/data=!4m7!3m6!1s0x47c665c3c2824bb3:0x22ef8059339efe13!8m2!3d52.0904374!4d5.1513991!16s%2Fg%2F1tf27wx9!19sChIJs0uCwsNlxkcRE_6eM1mA7yI?authuser=0&hl=fr&rclk=1
Frank Wouterse | bouwen • renoveren • restaureren,,,"4,8",10,http://www.frankwouterse.nl/,https://www.google.com/maps/place/Frank+Wouterse+%7C+bouwen+%E2%80%A2+renoveren+%E2%80%A2+restaureren/data=!4m7!3m6!1s0x47c665f79abd87e7:0xb43abd88b9f72aad!8m2!3d52.0775805!4d5.1187104!16s%2Fg%2F1tmpjqvn!19sChIJ54e9mvdlxkcRrSr3uYi9OrQ?authuser=0&hl=fr&rclk=1
Staalbouw Utrecht,,"
Australiëlaan 34, 3526 AB Utrecht, Pays-Bas","5,0",2,http://www.staalbouwutrecht.nl/,https://www.google.com/maps/place/Staalbouw+Utrecht/data=!4m7!3m6!1s0x47c665948b289053:0x99cf998349a3487a!8m2!3d52.0635946!4d5.1016508!16s%2Fg%2F1tdd91f9!19sChIJU5Aoi5RlxkcRekijSYOZz5k?authuser=0&hl=fr&rclk=1
SCBC GROUP,,"
Goeman Borgesiuslaan 77, 3515 ET Utrecht, Pays-Bas","5,0",1,http://www.scbcgroup.nl/,https://www.google.com/maps/place/SCBC+GROUP/data=!4m7!3m6!1s0x47c66f48fc7d6f3d:0x8c304f46aa077d0b!8m2!3d52.1031179!4d5.1141316!16s%2Fg%2F11lqlyl90v!19sChIJPW99_EhvxkcRC30HqkZPMIw?authuser=0&hl=fr&rclk=1
Van Miltenburg Bouw & Onderhoud - Utrecht,,,"3,9",8,http://www.vanmiltenburg.nl/,https://www.google.com/maps/place/Van+Miltenburg+Bouw+%26+Onderhoud+-+Utrecht/data=!4m7!3m6!1s0x47c66f1553120733:0x639cf10bcacbee0e!8m2!3d52.0731763!4d5.0545171!16s%2Fg%2F1tdwp97g!19sChIJMwcSUxVvxkcRDu7LygvxnGM?authuser=0&hl=fr&rclk=1
Mwtotaalbouw,,"
Van Limburg Brouwerstraat 24, 3532 TT Utrecht, Pays-Bas","5,0",2,,https://www.google.com/maps/place/Mwtotaalbouw/data=!4m7!3m6!1s0x47c66fe77ed86009:0xc4f8c0a98205d81d!8m2!3d52.0948394!4d5.1015718!16s%2Fg%2F11f7321zqz!19sChIJCWDYfudvxkcRHdgFgqnA-MQ?authuser=0&hl=fr&rclk=1
Van Wijnen Utrecht,,"
Savannahweg 19, 3542 AW Utrecht, Pays-Bas","3,8",12,https://www.vanwijnen.nl/locaties/utrecht/,https://www.google.com/maps/place/Van+Wijnen+Utrecht/data=!4m7!3m6!1s0x47c66e541e7a8f3f:0x7ab95bf79dad0a18!8m2!3d52.1165129!4d5.0415678!16s%2Fg%2F11b6_7zy4h!19sChIJP496HlRuxkcRGAqtnfdbuXo?authuser=0&hl=fr&rclk=1
BB Koedam BV,,"
Krommerijn 15, 3582 CR Utrecht, Pays-Bas","4,6",49,http://www.bbkoedam.nl/,https://www.google.com/maps/place/BB+Koedam+BV/data=!4m7!3m6!1s0x47c66f563c58e497:0xde3c69629871f53d!8m2!3d52.080823!4d5.1256901!16s%2Fg%2F11cn3v9bqy!19sChIJl-RYPFZvxkcRPfVxmGJpPN4?authuser=0&hl=fr&rclk=1
Bouwbedrijf van Zilver,,"
Atoomweg 514a, 3542 AB Utrecht, Pays-Bas","4,7",24,http://bouwbedrijfvanzilver.nl/,https://www.google.com/maps/place/Bouwbedrijf+van+Zilver/data=!4m7!3m6!1s0x47c66fc0e7aa1573:0x91140fd369c68b1d!8m2!3d52.1186218!4d5.043781!16s%2Fg%2F11qvjfx4c4!19sChIJcxWq58BvxkcRHYvGadMPFJE?authuser=0&hl=fr&rclk=1
Agterberg,,"
Biltsestraatweg 76, 3573 PS Utrecht, Pays-Bas","4,2",38,http://www.agterberg.com/,https://www.google.com/maps/place/Agterberg/data=!4m7!3m6!1s0x47c668b8f3e8617f:0x95450be6727b5aa6!8m2!3d52.0982635!4d5.1542788!16s%2Fg%2F11bx1zb7vr!19sChIJf2Ho87hoxkcRplp7cuYLRZU?authuser=0&hl=fr&rclk=1
BILT,,"
Hooghiemstraplein 70, 3514 AX Utrecht, Pays-Bas","4,0",1,,https://www.google.com/maps/place/BILT/data=!4m7!3m6!1s0x47c668ec814cefc1:0x831bcedd0632295c!8m2!3d52.098652!4d5.1249032!16s%2Fg%2F11csrg5f0g!19sChIJwe9MgexoxkcRXCkyBt3OG4M?authuser=0&hl=fr&rclk=1
ML Klusflex,,"
Zuiderzeestraat 17, 3522 JT Utrecht, Pays-Bas","5,0",15,http://mlklusflex.nl/,https://www.google.com/maps/place/ML+Klusflex/data=!4m7!3m6!1s0x47c6654afa01901b:0x15461f573b3132c9!8m2!3d52.0717358!4d5.112305!16s%2Fg%2F11rvh83rsr!19sChIJG5AB-kplxkcRyTIxO1cfRhU?authuser=0&hl=fr&rclk=1
Onderhoudbedrijf Utrecht B.V. OBU,,"
Vlampijpstraat 149, 3534 AR Utrecht, Pays-Bas","5,0",1,,https://www.google.com/maps/place/Onderhoudbedrijf+Utrecht+B.V.+OBU/data=!4m7!3m6!1s0x47c66f0aad3d2247:0x1023958be7b8ef02!8m2!3d52.1030292!4d5.0861322!16s%2Fg%2F11hby37fv3!19sChIJRyI9rQpvxkcRAu-454uVIxA?authuser=0&hl=fr&rclk=1
Van Leur Groep,,"
Nautilusweg 16, 3542 AV Utrecht, Pays-Bas","4,4",8,https://www.vanleurgroep.nl/home.html,https://www.google.com/maps/place/Van+Leur+Groep/data=!4m7!3m6!1s0x47c66fd0f5193951:0x15f3680b02945a3b!8m2!3d52.1167914!4d5.0448611!16s%2Fg%2F1tdqmw7c!19sChIJUTkZ9dBvxkcRO1qUAgto8xU?authuser=0&hl=fr&rclk=1
A-Bouw Utrecht,,"
Spieghelstraat 2, 3521 XN Utrecht, Pays-Bas","4,8",23,http://www.a-bouwutrecht.nl/,https://www.google.com/maps/place/A-Bouw+Utrecht/data=!4m7!3m6!1s0x47c665eb551df423:0x3a80aaf3b71b036f!8m2!3d52.079122!4d5.1158097!16s%2Fg%2F11kk4804yx!19sChIJI_QdVetlxkcRbwMbt_OqgDo?authuser=0&hl=fr&rclk=1
Heijmans Services Utrecht,,"
Papendorpseweg 77, 3528 BJ Utrecht, Pays-Bas","3,5",2,http://heijmans.nl/,https://www.google.com/maps/place/Heijmans+Services+Utrecht/data=!4m7!3m6!1s0x47c665c50748a9eb:0x108162e8ec839635!8m2!3d52.063477!4d5.0833905!16s%2Fg%2F11j2g0jz5x!19sChIJ66lIB8VlxkcRNZaD7OhigRA?authuser=0&hl=fr&rclk=1
MEET-Strukton Nieuwbouw RIVM,,"
Helsinkilaan 1, 3584 CB Utrecht, Pays-Bas","4,3",34,https://www.rivm.nl/over-het-rivm/verhuizing-rivm-2025,https://www.google.com/maps/place/MEET-Strukton+Nieuwbouw+RIVM/data=!4m7!3m6!1s0x47c6699c3bc155a9:0x3ea71bc7363d9fe6!8m2!3d52.083312!4d5.1655!16s%2Fg%2F11nxv5c325!19sChIJqVXBO5xpxkcR5p89Nscbpz4?authuser=0&hl=fr&rclk=1
Aannemersbedrijf Hobbs,,"
Fentener van Vlissingenkade 121, 3521 AA Utrecht, Pays-Bas","5,0",3,,https://www.google.com/maps/place/Aannemersbedrijf+Hobbs/data=!4m7!3m6!1s0x47c66f61ae343929:0x7dc26cc16dceea55!8m2!3d52.0829741!4d5.1042932!16s%2Fg%2F11cnb0mzcl!19sChIJKTk0rmFvxkcRVerObcFswn0?authuser=0&hl=fr&rclk=1
Bockweg Sterk Werk,,"
Bloesemstraat 25, 3581 XA Utrecht, Pays-Bas","5,0",1,,https://www.google.com/maps/place/Bockweg+Sterk+Werk/data=!4m7!3m6!1s0x47c66f52e4830a41:0xd227001911e9862e!8m2!3d52.0879744!4d5.1332387!16s%2Fg%2F11c2pn03gl!19sChIJQQqD5FJvxkcRLobpERkAJ9I?authuser=0&hl=fr&rclk=1
