company_name,phone,address,rating,review,website,google_maps_link
BVBA Roof Service Company,,,"4,9",50,,https://www.google.com/maps/place/BVBA+Roof+Service+Company/data=!4m7!3m6!1s0x47c3f6ff465e992b:0x962bd32afbb35bd3!8m2!3d51.220906!4d4.4117021!16s%2Fg%2F11flkcg52s!19sChIJK5leRv_2w0cR01uz-yrTK5Y?authuser=0&hl=fr&rclk=1
PLAT DAK WERKEN Roofit,"
+32 490 11 11 11","
Flor Alpaertsstraat 75, 2600 Antwerpen, Belgique","4,9",135,http://www.dakwerken.be/,https://www.google.com/maps/place/PLAT+DAK+WERKEN+Roofit/data=!4m7!3m6!1s0x47c3f400f469496d:0x38540cad0e19a5b6!8m2!3d51.1828019!4d4.4422507!16s%2Fg%2F12hq09479!19sChIJbUlp9AD0w0cRtqUZDq0MVDg?authuser=0&hl=fr&rclk=1
Kijzer,"
+32 3 808 46 46","
De Burburestraat 6-8, 2000 Antwerpen, Belgique","4,8",837,http://www.kijzer.be/,https://www.google.com/maps/place/Kijzer/data=!4m7!3m6!1s0x47c6a97481e2f5b7:0xe0ed95fca501f008!8m2!3d51.2092893!4d4.3912484!16s%2Fg%2F11bc70xvnh!19sChIJt_XigXSpxkcRCPABpfyV7eA?authuser=0&hl=fr&rclk=1
Matrix Dakwerken Antwerpen bv,"
+32 488 85 97 13","
Sint-Lambertusstraat 116, 2600 Antwerpen, Belgique","5,0",34,https://matrix-dakwerken-antwerpen.be/,https://www.google.com/maps/place/Matrix+Dakwerken+Antwerpen+bv/data=!4m7!3m6!1s0x47c3f7a230a17a09:0xa7ce45d0efa230d5!8m2!3d51.1967144!4d4.4217921!16s%2Fg%2F11khc3s492!19sChIJCXqhMKL3w0cR1TCi79BFzqc?authuser=0&hl=fr&rclk=1
Franks Dakwerken Antwerpen,"
+32 489 60 50 90","
Auwersstraat 86, 2600 Antwerpen, Belgique","4,8",32,https://franksdakwerken.be/,https://www.google.com/maps/place/Franks+Dakwerken+Antwerpen/data=!4m7!3m6!1s0x47c3f761ace251eb:0x93c3e91234c09700!8m2!3d51.1997439!4d4.4254357!16s%2Fg%2F11wqq4d7l5!19sChIJ61HirGH3w0cRAJfANBLpw5M?authuser=0&hl=fr&rclk=1
AA Dakwerken,,"
Kouwerheide 19, 2610 Antwerpen, Belgique","4,9",99,https://aa-dakwerken.be/,https://www.google.com/maps/place/AA+Dakwerken/data=!4m7!3m6!1s0x47c3f1467af510dd:0xd89fe8dcea311c71!8m2!3d51.1686257!4d4.3784739!16s%2Fg%2F11c5hj85z4!19sChIJ3RD1ekbxw0cRcRwx6tzon9g?authuser=0&hl=fr&rclk=1
VT Dakwerker Antwerpen,,"
Brusselstraat 51, 2018 Antwerpen, Belgique","5,0",6,https://dakwerkerantwerpen.be/,https://www.google.com/maps/place/VT+Dakwerker+Antwerpen/data=!4m7!3m6!1s0x47c3f790261ed22d:0x2b2e7ff79366bef4!8m2!3d51.2019332!4d4.3907519!16s%2Fg%2F11yg1pg371!19sChIJLdIeJpD3w0cR9L5mk_d_Lis?authuser=0&hl=fr&rclk=1
Kerobo,,"
Dolfijnstraat 18, 2018 Antwerpen, Belgique","5,0",22,http://www.kerobo.be/,https://www.google.com/maps/place/Kerobo/data=!4m7!3m6!1s0x47c3f73379f12e47:0x169d2de73b057e6d!8m2!3d51.2067981!4d4.4329701!16s%2Fg%2F11tx_yd0qx!19sChIJRy7xeTP3w0cRbX4FO-ctnRY?authuser=0&hl=fr&rclk=1
T-ROOF B.V Dakwerken,"
+32 473 18 67 18","
Van Reyenstraat 26, 2100 Antwerpen, Belgique","4,9",27,https://troof.be/,https://www.google.com/maps/place/T-ROOF+B.V+Dakwerken/data=!4m7!3m6!1s0x47c3f787aa9a124d:0xc50d231134da9630!8m2!3d51.2271607!4d4.4603708!16s%2Fg%2F11btvb89gr!19sChIJTRKaqof3w0cRMJbaNBEjDcU?authuser=0&hl=fr&rclk=1
Dakwerken uit antwerpen,,"
Handelstraat 89C, 2060 Antwerpen, Belgique","5,0",4,https://dakwerkenuitantwerpen.be/,https://www.google.com/maps/place/Dakwerken+uit+antwerpen/data=!4m7!3m6!1s0x47c3f773087a2333:0xb7ed1ea7f224381f!8m2!3d51.2240849!4d4.4305568!16s%2Fg%2F11z0my530f!19sChIJMyN6CHP3w0cRHzgk8qce7bc?authuser=0&hl=fr&rclk=1
A12 travaux de toiture,,,"5,0",148,https://www.a12-dakwerken-antwerpen.be/,https://www.google.com/maps/place/A12+travaux+de+toiture/data=!4m7!3m6!1s0x47c3f6e66a0ba78f:0x3190df5a56c91e88!8m2!3d51.1866473!4d4.3609798!16s%2Fg%2F11b6dpc4cp!19sChIJj6cLaub2w0cRiB7JVlrfkDE?authuser=0&hl=fr&rclk=1
Roofing Service Dakwerken,"
+32 497 30 60 54","
Bethaniënlei 53, 2980 Zoersel, Belgique","4,7",44,http://www.roofingservicedakwerken.be/,https://www.google.com/maps/place/Roofing+Service+Dakwerken/data=!4m7!3m6!1s0x47c3f7aeb1a1a227:0xf4701feaca59e302!8m2!3d51.2707498!4d4.6384033!16s%2Fg%2F1td3qnk5!19sChIJJ6Khsa73w0cRAuNZyuofcPQ?authuser=0&hl=fr&rclk=1
