company_name,phone,address,rating,review,website,google_maps_link
Solar Power Systems,,"
Abtsdreef 143/A6, 2940 Stabroek, Belgique","4,7",279,,https://www.google.com/maps/place/Solar+Power+Systems/data=!4m7!3m6!1s0x47c3f815bb10155b:0xec38cf12a2be02ad!8m2!3d51.336614!4d4.355117!16s%2Fg%2F1tf7fv60!19sChIJWxUQuxX4w0cRrQK-ohLPOOw?authuser=0&hl=fr&rclk=1
MS Energy Solutions,,"
Middelmolenlaan 20, 2100 Antwerpen, Belgique","4,8",33,http://www.ms-energysolutions.be/,https://www.google.com/maps/place/MS+Energy+Solutions/data=!4m7!3m6!1s0x47c3f73a9676abc3:0x21572935e85f0d42!8m2!3d51.2370888!4d4.4755701!16s%2Fg%2F11js9h6xlr!19sChIJw6t2ljr3w0cRQg1f6DUpVyE?authuser=0&hl=fr&rclk=1
Global Solar,,"
Noorderlaan 109, 2030 Antwerpen, Belgique","4,6",44,https://globalsolar.be/,https://www.google.com/maps/place/Global+Solar/data=!4m7!3m6!1s0x418627f9e9c608c3:0xb2df42ff01b7315c!8m2!3d51.2616507!4d4.4183922!16s%2Fg%2F11vl7kkm68!19sChIJwwjG6fknhkERXDG3Af9C37I?authuser=0&hl=fr&rclk=1
Zon & Dak,,"
Ankerrui 22, 2000 Antwerpen, Belgique","4,0",80,https://www.zonendak.be/,https://www.google.com/maps/place/Zon+%26+Dak/data=!4m7!3m6!1s0xa31608b8c5cec991:0xc7c46783d3cccdff!8m2!3d51.2267941!4d4.4115679!16s%2Fg%2F11swcl6kj9!19sChIJkcnOxbgIFqMR_83M04NnxMc?authuser=0&hl=fr&rclk=1
Svea Solar,,"
Mastboomstraat 12, 2630 Aartselaar, Belgique","4,2",178,https://sveasolar.be/,https://www.google.com/maps/place/Svea+Solar/data=!4m7!3m6!1s0x47c3f7f430a7c821:0x3dceec762116c183!8m2!3d51.146331!4d4.3864529!16s%2Fg%2F11m46jfbxt!19sChIJIcinMPT3w0cRg8EWIXbszj0?authuser=0&hl=fr&rclk=1
Soly Belgie,,"
Frankrijklei 119, 2000 Antwerpen, Belgique","2,9",88,https://soly.be/,https://www.google.com/maps/place/Soly+Belgie/data=!4m7!3m6!1s0x47c3f7aee73fe38f:0x3f3d0108c4a28a1!8m2!3d51.2119653!4d4.4100343!16s%2Fg%2F11rz3ry3ty!19sChIJj-M_5673w0cRoShKjBDQ8wM?authuser=0&hl=fr&rclk=1
RENO-NRG,,"
Kloosterstraat 99, 2000 Antwerpen, Belgique","5,0",4,https://www.reno-nrg.be/,https://www.google.com/maps/place/RENO-NRG/data=!4m7!3m6!1s0xa36ba4b65bf8d903:0x945c6c84a0b58300!8m2!3d51.2148602!4d4.3945794!16s%2Fg%2F11w9fh3gc0!19sChIJA9n4W7aka6MRAIO1oIRsXJQ?authuser=0&hl=fr&rclk=1
MR Group,,,"4,7",140,https://www.mrsolar.be/particulier/,https://www.google.com/maps/place/MR+Group/data=!4m7!3m6!1s0x47c3f7ba05d2c739:0x2834725cb0801e45!8m2!3d51.081498!4d4.470473!16s%2Fg%2F11fmvdf6yv!19sChIJOcfSBbr3w0cRRR6AsFxyNCg?authuser=0&hl=fr&rclk=1
SOLAR WAASLAND BV,"
+32 3 219 02 52","
Schaarbeekstraat 20, 9120 Beveren-Kruibeke-Zwijndrecht, Belgique","5,0",130,https://solarwaasland.be/,https://www.google.com/maps/place/SOLAR+WAASLAND+BV/data=!4m7!3m6!1s0x2b7f035a213c6a57:0x73ef79ff5b6f1b1b!8m2!3d51.1982651!4d4.3102365!16s%2Fg%2F11vs98rkq6!19sChIJV2o8IVoDfysRGxtvW_9573M?authuser=0&hl=fr&rclk=1
PVA Energy,"
+32 3 336 78 79","
N11, 2180 Antwerpen, Belgique","4,0",1,http://www.pva-energy.be/,https://www.google.com/maps/place/PVA+Energy/data=!4m7!3m6!1s0x47c4084548fd586f:0x39328f7bf1988a0f!8m2!3d51.2938825!4d4.442782!16s%2Fg%2F11h0qb88p!19sChIJb1j9SEUIxEcRD4qY8XuPMjk?authuser=0&hl=fr&rclk=1
